createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2020-08-19,1131072037,许奕辰,0,7683698159,古风圈的那些入坑神曲，了解一下,2350201
2018-11-12,349915071,梅内斯,2,5137719959,苦涩Rap | 伤心的时候不要听 !,9935377
2020-02-12,3202253026,凌然霄,0,3705423543,超燃电音|我独自一人处高峰,4299110
2018-05-01,1433218437,猫九,0,2962708139,王者荣耀 | 峡谷乱杀必备BGM,7927799
2020-09-18,3364217504,太郎.,0,7719472632,喜欢的歌静静听，喜欢的人静静看,2326904
2020-07-18,3551670799,心鱼涌泉,0,7597599566,「超神电子」爆发你的肾上激素！,20240235
2018-02-28,1262773020,𓅯存在𓆡,0,658033106,你已不在身边，我却彻夜想念,2287617
2020-09-19,2276943843,锥生零,0,7718860899,有一种悲伤：叫做你失去的背影,304742
2020-05-06,1587080800,亮晶晶,0,892344800,"“三杰” 时光荏苒,追寻逝去流年",3413052
2019-09-11,151327328,‍,0,4227964240,车载精选 | 电音一响尽情狂嗨,361372
2020-04-15,1329616814,cola,0,7522458197,站内收藏量过百万的欧美热曲,59777440
2020-05-21,2174875328,Kobayashi,2,7567404842,200首校园歌曲：回忆学生的时代,20136089
2016-12-19,237370213,可惜没如果,0,1742108428,林俊杰歌单,21764761
2019-10-18,3507583383,亲子专区官方账号,2,7260394635,0-3岁宝宝儿歌,230346834
2020-11-03,1367363703,就是爱音乐,2,7769343580,一人一首 | 90后的校园青春回忆,4595082
2020-10-01,1907925059,干饭人,0,7650382189,『丧系』没有完整版的神仙翻唱,4112771
2020-09-15,1273179433,稍等一下～,0,7713574197,国风BGM｜再听已是曲中人,29571803
2018-10-08,1220667525,安多,2,5217738880,《天官赐福》同人：明灯三千为一人,8727974
2019-08-28,2641188037,冲向KTV,0,7174020740,九十年代：这些老故事我唱给你听,2834677
2020-08-27,3427724427,北川同学,0,7691767726,神仙男声 | 云里偷藏喜欢,3925073
2020-06-04,415456277,丧气男孩,2,7588622937,米津玄师 | 来自异次元宝藏男孩,3660694
2018-02-12,2797356293,河清净,0,1767321860,〖爆燃BGM〗引领队友走向胜利,13066273
2020-09-29,2134718135,‭遇浩,0,7703801812,失望片段 | 被爱的人不用道歉,7642174
2020-11-02,813010823,双木非林田下有心,0,4256842395,【嗨曲】爆炸操作秀翻全场,116150
2020-08-16,1152921504911067581,檀澄棠♡,0,7679236179,轻缓英文 | 宁静的午后时光,290343
2019-10-14,2720774621,Flipped,2,7254963443,『水逆退散』您的好运正在配送中,1443256
